Iteration,Scenario,Left_Out_Year,Train_Rows,Test_Rows,RMSE,NRMSE_Percent,Status,Error
15,Cold_Full,2024,2998,2062,1812.2699143049836,22.0648478939776,Completed,
10,Cold_Full,2024,2998,2062,1322.6268938723836,16.10331938052962,Completed,
12,Cold_Full,2024,2998,2062,1447.6211638551208,17.6251564606566,Completed,
16,Cold_Full,2024,2998,2062,1321.367659515619,16.087987881438032,Completed,
24,Cold_Full,2024,2998,2062,1186.4275513308903,14.445057687436117,Completed,
20,Cold_Full,2024,2998,2062,1515.6388528520117,18.453289152133653,Completed,
29,Cold_Full,2024,2998,2062,1269.4631704307778,15.456037503830592,Completed,
30,Cold_Full,2024,2998,2062,1255.678076491977,15.288200473285125,Completed,
17,Cold_Full,2024,2998,2062,1209.7762240141556,14.729333725578092,Completed,
18,Cold_Full,2024,2998,2062,1126.92804711567,13.720636065737784,Completed,
32,Cold_Full,2024,2998,2062,1282.4480326281105,15.614131509059542,Completed,
34,Cold_Full,2024,2998,2062,1370.4747655757687,16.685879408068697,Completed,
38,Cold_Full,2024,2998,2062,1255.033672300697,15.280354688090213,Completed,
21,Cold_Full,2024,2998,2062,1267.3978455079712,15.43089164674073,Completed,
25,Cold_Full,2024,2998,2062,1139.42994373542,13.87284984202111,Completed,
37,Cold_Full,2024,2998,2062,1343.4091473182875,16.35634861064506,Completed,
22,Cold_Full,2024,2998,2062,1518.9999442217081,18.49421129581916,Completed,
23,Cold_Full,2024,2998,2062,1191.8572472813614,14.511165618882762,Completed,
26,Cold_Full,2024,2998,2062,1255.4399170666748,15.285300821609438,Completed,
36,Cold_Full,2024,2998,2062,1523.6156126434462,18.550408234724777,Completed,
27,Cold_Full,2024,2998,2062,1163.18447136615,14.162067267542602,Completed,
41,Cold_Full,2024,2998,2062,1312.0296454506422,15.974295181278325,Completed,
28,Cold_Full,2024,2998,2062,1340.47348634262,16.32060619038796,Completed,
35,Cold_Full,2024,2998,2062,1484.2272104123497,18.0708444031146,Completed,
42,Cold_Full,2024,2998,2062,1376.484092326666,16.759044492175175,Completed,
40,Cold_Full,2024,2998,2062,1275.7228553651776,15.532250762601551,Completed,
39,Cold_Full,2024,2998,2062,1348.0574464965937,16.41294283732479,Completed,
47,Cold_Full,2024,2998,2062,1333.5798938194114,16.23667494523125,Completed,
31,Cold_Full,2024,2998,2062,1519.860496262071,18.5046887361417,Completed,
44,Cold_Full,2024,2998,2062,1296.2110603501483,15.78169987779441,Completed,
51,Cold_Full,2024,2998,2062,1255.990178668177,15.292000396790378,Completed,
48,Cold_Full,2024,2998,2062,1312.984495876586,15.985920728468422,Completed,
33,Cold_Full,2024,2998,2062,1175.9106733573335,14.317012018866352,Completed,
43,Cold_Full,2024,2998,2062,1434.6321523383313,17.467011936406195,Completed,
57,Cold_Full,2024,2998,2062,1466.3494789923866,17.85317846861049,Completed,
53,Cold_Full,2024,2998,2062,1470.1917689901202,17.89995932818077,Completed,
60,Cold_Full,2024,2998,2062,1331.026560564105,16.20558746236997,Completed,
50,Cold_Full,2024,2998,2062,1222.4597563747313,14.883758963278835,Completed,
64,Cold_Full,2024,2998,2062,1331.614235529409,16.212742554786487,Completed,
59,Cold_Full,2024,2998,2062,1580.02215542863,19.237172263060774,Completed,
68,Cold_Full,2024,2998,2062,1324.4483524909674,16.125496103239076,Completed,
45,Cold_Full,2024,2998,2062,1118.8955537529994,13.622838412718377,Completed,
65,Cold_Full,2024,2998,2062,1221.2346842982877,14.868843398653208,Completed,
54,Cold_Full,2024,2998,2062,1482.9986947267228,18.055886911669887,Completed,
52,Cold_Full,2024,2998,2062,1104.984710725706,13.453470354985134,Completed,
55,Cold_Full,2024,2998,2062,1335.1734431957602,16.25607681485516,Completed,
58,Cold_Full,2024,2998,2062,1462.7745595767667,17.80965291399181,Completed,
56,Cold_Full,2024,2998,2062,1351.3324364005518,16.452816673730037,Completed,
46,Cold_Full,2024,2998,2062,1502.8677094498798,18.297797227682498,Completed,
61,Cold_Full,2024,2998,2062,1452.0430731674744,17.678994333044095,Completed,
71,Cold_Full,2024,2998,2062,1309.3066422136437,15.941141923165434,Completed,
62,Cold_Full,2024,2998,2062,1212.8715593686443,14.767020222075407,Completed,
49,Cold_Full,2024,2998,2062,1219.0507051072318,14.842252895619481,Completed,
75,Cold_Full,2024,2998,2062,1246.9476749758985,15.181905610701424,Completed,
74,Cold_Full,2024,2998,2062,1084.1329016602658,13.199594267482102,Completed,
63,Cold_Full,2024,2998,2062,1378.3288634555474,16.78150505063651,Completed,
84,Cold_Full,2024,2998,2062,1260.705198832209,15.349406968468916,Completed,
77,Cold_Full,2024,2998,2062,1287.4200854597545,15.674667518946967,Completed,
70,Cold_Full,2024,2998,2062,1281.830861886775,15.606617298055603,Completed,
72,Cold_Full,2024,2998,2062,1186.814765269543,14.449772115784432,Completed,
66,Cold_Full,2024,2998,2062,1107.2217598046261,13.4807069974235,Completed,
69,Cold_Full,2024,2998,2062,1232.5054738745414,15.006068133049599,Completed,
